long,lat,name,cbg,cb,down_stream,up_stream
-121.74875849491376,38.574076035523305,['M13-012-1'],061130105101,061130105101004,"[(-121.74875057371482, 38.57347870284352)]","[(-121.74874507195865, 38.574672908614566), (-121.75018982737592, 38.57409586386807)]"
-121.74874507195865,38.574672908614566,['M13-011-1'],061130105101,061130105101004,"[(-121.74875849491376, 38.574076035523305)]","[(-121.75043805318077, 38.57474889916606)]"
-121.75043805318077,38.57474889916606,['M12-065-1'],061130105101,061130105101005,"[(-121.74874507195865, 38.574672908614566)]","[(-121.75218084587378, 38.574766106247296)]"
-121.73510742153177,38.55894576858097,['O14-029-1'],061130106111,061130106111003,"[(-121.73510651921087, 38.559783265534946)]","[(-121.73511189504521, 38.558163196568124), (-121.73417724551497, 38.558937794043516)]"
-121.73510651921087,38.559783265534946,['O14-023-1'],061130106111,061130106111003,"[(-121.73509884678606, 38.5606361680014)]","[(-121.73510742153177, 38.55894576858097)]"
-121.75160791037464,38.57400475955994,['M12-072-1'],061130105101,061130105101005,"[(-121.75011596256516, 38.573489797048644)]","[(-121.75325477136647, 38.57402112817941)]"
-121.75011596256516,38.573489797048644,['M12-074-1'],061130105101,061130105101005,"[(-121.74875057371482, 38.57347870284352)]","[(-121.75160791037464, 38.57400475955994)]"
-121.75634591249583,38.57402894547443,['M12-067-1'],061130105101,061130105101004,"[(-121.75514097328637, 38.57401996672004)]","[(-121.7575099034987, 38.5740417415808)]"
-121.75562311947195,38.574798852381534,['M12-062-1'],061130105101,061130105101006,"[(-121.75392503280779, 38.574783435586575)]","[(-121.75737797749811, 38.57481690597025)]"
-121.75737797749811,38.57481690597025,['M12-061-1'],061130105101,061130105101004,"[(-121.75562311947195, 38.574798852381534)]",[]
-121.77619192109813,38.559234384973436,['O10-007-1'],061130105112,061130105112000,"[(-121.77626874328648, 38.55883154324152)]",[]
-121.7575099034987,38.5740417415808,['M12-066-1'],061130105101,061130105101004,"[(-121.75634591249583, 38.57402894547443)]",[]
-121.75493164375894,38.57358057435222,['M12-069-1'],061130105101,061130105101004,"[(-121.75514097328637, 38.57401996672004)]",[]
-121.75218084587378,38.574766106247296,['M12-064-1'],061130105101,061130105101004,"[(-121.75043805318077, 38.57474889916606)]","[(-121.75392503280779, 38.574783435586575)]"
-121.75397201797377,38.57400660353707,['M12-070-1'],061130105101,061130105101004,"[(-121.75325477136647, 38.57402112817941)]","[(-121.75514097328637, 38.57401996672004)]"
-121.75392503280779,38.574783435586575,['M12-063-1'],061130105101,061130105101004,"[(-121.75218084587378, 38.574766106247296)]","[(-121.75562311947195, 38.574798852381534)]"
-121.75514097328637,38.57401996672004,['M12-068-1'],061130105101,061130105101004,"[(-121.75397201797377, 38.57400660353707)]","[(-121.75493164375894, 38.57358057435222), (-121.75634591249583, 38.57402894547443)]"
-121.75175743945374,38.57320539026399,['M12-006-1'],061130105104,061130105104002,"[(-121.7517606866248, 38.57306783148283)]",[]
-121.75925940676427,38.571090206260735,['M11-002-1'],061130105102,061130105102000,"[(-121.75927001456154, 38.57032490479507)]","[(-121.76016454173966, 38.571009891921676), (-121.7586278041274, 38.571079980559304)]"
-121.7586278041274,38.571079980559304,['M11-003-1'],061130105102,061130105102000,"[(-121.75925940676427, 38.571090206260735)]",[]
-121.76016454173966,38.571009891921676,['M11-001-1'],061130105102,061130105102000,"[(-121.75925940676427, 38.571090206260735)]",[]
-121.76021527513235,38.57031967653558,['M11-004-1'],061130105102,061130105102000,"[(-121.75927001456154, 38.57032490479507)]",[]
-121.75927001456154,38.57032490479507,['M11-005-1'],061130105102,061130105102000,"[(-121.75828182437945, 38.57016050215081)]","[(-121.75925940676427, 38.571090206260735), (-121.76021527513235, 38.57031967653558)]"
-121.75144843163558,38.56965620170308,['M12-038-1'],061130105104,061130105104001,"[(-121.75215675655758, 38.56969789715158)]","[(-121.75140945665571, 38.5700212877623)]"
-121.75026361591448,38.5702570548028,['M12-040-1'],061130105104,061130105104001,"[(-121.75140945665571, 38.5700212877623)]",[]
-121.75215675655758,38.56969789715158,['M12-037-1'],061130105104,061130105104003,"[(-121.7531811069952, 38.56978977532142)]","[(-121.75144843163558, 38.56965620170308)]"
-121.75451400303334,38.57000960619831,['M12-033-1'],061130105104,061130105104001,"[(-121.75440032720648, 38.570009587490475)]","[(-121.75454619066132, 38.570338898895194)]"
-121.75438421519279,38.569609801653066,['M12-045-1'],061130105104,061130105104001,"[(-121.75476965384641, 38.56853021078903)]","[(-121.75440032720648, 38.570009587490475)]"
-121.75965639143756,38.568804262120445,['M11-010-1'],061130105102,061130105102000,"[(-121.7583473055815, 38.56879186971222)]","[(-121.76122064356753, 38.56880367572575)]"
-121.76122064356753,38.56880367572575,['M11-009-1'],061130105102,061130105102000,"[(-121.75965639143756, 38.568804262120445)]",[]
-121.7583473055815,38.56879186971222,['M12-052-1'],061130105104,061130105104001,"[(-121.758332925369, 38.569554893765755)]","[(-121.75965639143756, 38.568804262120445)]"
-121.7580341882662,38.569620351284435,['M12-042-1'],061130105104,061130105104001,"[(-121.75671054737126, 38.56960966460551)]",[]
-121.75806799763413,38.56885829186805,['M12-053-1'],061130105104,061130105104001,"[(-121.75671806046076, 38.56884801571362)]",[]
-121.758332925369,38.569554893765755,['M12-041-1'],061130105104,061130105104001,"[(-121.75828182437945, 38.57016050215081)]","[(-121.7583473055815, 38.56879186971222), (-121.75871837214213, 38.56956073106718)]"
-121.75828182437945,38.57016050215081,['M12-026-1'],061130105104,061130105104001,"[(-121.75769585717137, 38.57042527017347)]","[(-121.758332925369, 38.569554893765755), (-121.75927001456154, 38.57032490479507)]"
-121.75871837214213,38.56956073106718,['M11-008-1'],061130105102,061130105102000,"[(-121.758332925369, 38.569554893765755)]","[(-121.75960990743786, 38.569570080875664)]"
