long,lat,name,cbg,cb,down_stream,up_stream
-121.74133810222659,38.54062403840337,['SLS 02'],061130105012,061130105012017,"[(-121.74184115718147, 38.54192551509887)]","[(-121.74201672750242, 38.54046814841206)]"
-121.67943893319752,38.550079778095494,"['SLS 06', 'P20-042-1']",061130104014,061130104014035,"[(-121.68171512247739, 38.54957845407346)]","[(-121.67953045175538, 38.55020604014686), (-121.67913998123416, 38.5494649840185)]"
-121.74976723990835,38.57293349352972,"['SLS 05', 'M13-015-1']",061130105104,061130105104001,"[(-121.74977989124244, 38.57303827854869)]","[(-121.74864447213379, 38.57307313701779)]"
-121.73165207035036,38.54874785026398,"['SLS 04', 'P14-122-1']",061130106023,061130106023007,"[(-121.73901525114353, 38.54760050517666)]","[(-121.73147729787894, 38.54874429118144)]"
-121.68541776413717,38.53972575181906,"['SLS 01', 'Q19-SLS01-1']",061130104014,061130104014010,"[(-121.67571909250405, 38.55930187945072)]","[(-121.6853971117833, 38.539779374143755)]"
-121.7206532992044,38.56286829348811,"['SLS 03', 'N16-070-1']",061130106091,061130106091001,"[(-121.72045687253359, 38.563260552837946)]","[(-121.7208412369655, 38.56296916478895)]"
-121.69576427649338,38.54238421352434,['Q18-059-1'],061130106073,061130106073000,"[(-121.69576306774347, 38.54125822731764)]",[]
-121.75341692612422,38.54954262172168,['P12-122-1'],061130107041,061130107041014,"[(-121.75340885348412, 38.55006345074694)]","[(-121.7534249986465, 38.54902179269334)]"
-121.75440032720648,38.570009587490475,['M12-034-1'],061130105104,061130105104001,"[(-121.75438421519279, 38.569609801653066)]","[(-121.75451400303334, 38.57000960619831)]"
-121.67571909250405,38.55930187945072,['O20-001-1'],061130105052,061130105052033,"[(-121.67569642901712, 38.560592327891044)]","[(-121.68541776413717, 38.53972575181906)]"
-121.72031380864901,38.55709618718334,['O16-034-1'],061130106102,061130106102001,"[(-121.72037865580529, 38.557818645578074)]","[(-121.72240759029691, 38.55698493465879)]"
-121.75847497774781,38.56391960565579,['N11-059-1'],061130105102,061130105102000,"[(-121.75848384609657, 38.563424975406406)]","[(-121.75659394852075, 38.563896560697685), (-121.76011200354479, 38.563718010298764), (-121.7584004902929, 38.56500738062052)]"
-121.76011200354479,38.563718010298764,['N11-058-1'],061130105102,061130105102000,"[(-121.75847497774781, 38.56391960565579)]",[]
-121.76194216250897,38.56497511324794,['N11-037-1'],061130105102,061130105102000,"[(-121.76133070779552, 38.56565974545496)]",[]
-121.72285766184243,38.56139151048289,['N15-071-1'],061130106092,061130106092005,"[(-121.72169083647792, 38.56149516545998)]","[(-121.7239458005977, 38.56129566317534)]"
-121.74954185081998,38.56491563111313,['N13-013-1'],061130105092,061130105092002,"[(-121.75056475590594, 38.56451298907012)]",[]
-121.76560066541228,38.56656862797868,['N11-015-1'],061130105103,061130105103004,"[(-121.76557354271915, 38.56630771211173)]","[(-121.76564218862389, 38.5667046357076)]"
-121.76854307764776,38.56349960141819,['N10-009-1'],061130105051,061130105051018,"[(-121.76855900747948, 38.56332349173428)]","[(-121.7685371305047, 38.5635653374635)]"
-121.76816406023067,38.56645950731356,['N10-006-1'],061130105051,061130105051018,"[(-121.7683685211314, 38.564779619449226)]","[(-121.7681631815851, 38.56652540451418)]"
-121.76812792014827,38.569175470728325,['M10-006-1'],061130105051,061130105051017,"[(-121.7681631815851, 38.56652540451418)]","[(-121.76812704317572, 38.569241370675364)]"
-121.76807844858428,38.57192226166756,['M10-004-1'],061130105051,061130105051017,"[(-121.76812704317572, 38.569241370675364)]","[(-121.7680772532514, 38.57198815685483)]"
-121.76803598322581,38.57466790361868,['M10-002-1'],061130105052,061130105052027,"[(-121.7680772532514, 38.57198815685483)]","[(-121.76803496794375, 38.57473380053636)]"
-121.7170646472251,38.537370709211196,['R16-023-1'],061130106082,061130106082000,"[(-121.71746175297586, 38.537997082454)]","[(-121.71720261003956, 38.53718915469318)]"
-121.72957898078357,38.54528116316294,['Q15-001-1'],061130106024,061130106024000,"[(-121.7311145784069, 38.5449342524192)]",[]
-121.74133717223793,38.54058834090141,['Q13-037FM-1'],061130105012,061130105012017,"[(-121.74184115718147, 38.54192551509887)]","[(-121.74201672750242, 38.54046814841206)]"
-121.69132058029575,38.5460872476795,['P19-049-1'],061130104012,061130104012005,"[(-121.69062552740235, 38.54606770375224)]","[(-121.69215680806032, 38.54571451140689)]"
-121.69425049956814,38.5467801159811,['P19-031-1'],061130104012,061130104012000,"[(-121.69341498316287, 38.547007261806456)]",[]
-121.7030018443717,38.54639293055526,['P18-035-1'],061130106074,061130106074002,"[(-121.7012708211267, 38.54636877708539)]","[(-121.70364081024265, 38.54640289157433)]"
-121.71204498297365,38.54641808367964,['P17-052-1'],061130106072,061130106072001,"[(-121.7119690386437, 38.54651599230805)]","[(-121.71206599745321, 38.5458082789859)]"
-121.7132344171014,38.54653547862051,['P17-045-1'],061130106072,061130106072001,"[(-121.7119690386437, 38.54651599230805)]","[(-121.71333929223827, 38.5465370921979)]"
-121.72084337261553,38.551472836566134,['P16-023-1'],061130106102,061130106102013,"[(-121.72165177831239, 38.551297571042504)]","[(-121.71988540576352, 38.55167045419418)]"
-121.72733214996389,38.55154532967263,['P15-018-1'],061130106023,061130106023004,"[(-121.72831791391529, 38.55156508044144)]",[]
-121.72737726035676,38.55232006218605,['P15-012-1'],061130106023,061130106023000,"[(-121.72931042042221, 38.55235913388914)]",[]
-121.72772027133391,38.553203772584496,['P15-005-1'],061130106023,061130106023000,"[(-121.72930778250917, 38.5532135925526)]",[]
-121.73131406872116,38.55344878543344,['P15-001-1'],061130106111,061130106111010,"[(-121.73165601937758, 38.553431108465105)]","[(-121.7313165148534, 38.55417505355771), (-121.73039613861076, 38.5534177664827)]"
-121.73165601937758,38.553431108465105,['P14-029-1'],061130106111,061130106111010,"[(-121.73221437381882, 38.55336235365715)]","[(-121.73131406872116, 38.55344878543344)]"
-121.73083798848585,38.552390669337846,['P15-010-1'],061130106023,061130106023000,"[(-121.72931042042221, 38.55235913388914)]",[]
-121.73968119262825,38.55079151930025,['P14-032-1'],061130106022,061130106022003,"[(-121.73844802719341, 38.55118403415209)]","[(-121.73947805158002, 38.55011014855003)]"
-121.73821080495173,38.547556443714114,['P14-104-1'],061130106022,061130106022013,"[(-121.73827040743049, 38.54777668910534)]",[]
-121.74948538763456,38.549460113764034,['P13-056-1'],061130107011,061130107011005,"[(-121.74947252170858, 38.550695725978805)]","[(-121.74949307384759, 38.54822722112582)]"
-121.74347213639686,38.54973060353882,['P13-065-1'],061130107013,061130107013007,"[(-121.74305791268715, 38.54830364856148)]",[]
-121.74278569319269,38.55126320988447,['P13-045-1'],061130107012,061130107012010,"[(-121.74218003867618, 38.55137021979251)]","[(-121.74344751304271, 38.55114627131609)]"
-121.696485543734,38.55541297486408,['O18-073-1'],061130106052,061130106052007,"[(-121.69770667935533, 38.55547614019206)]","[(-121.697036786072, 38.554185411136146)]"
-121.70134326526109,38.55380435800754,['O18-069-1'],061130106052,061130106052000,"[(-121.70169159292733, 38.554635402852284)]","[(-121.70078988249139, 38.55396701464551)]"
-121.705529359388,38.55555440356763,['O17-062-1'],061130106052,061130106052004,"[(-121.70477538209356, 38.5565202582301)]",[]
-121.71045655606913,38.55449975548603,['O17-046-1'],061130106101,061130106101004,"[(-121.70961855488561, 38.55466898559398)]","[(-121.71188941152279, 38.5537445307993)]"
-121.72820752252154,38.55816838169297,['O15-033-1'],061130106092,061130106092014,"[(-121.72916964188573, 38.558805876791965)]",[]
-121.67349529802735,38.57484666607894,['L21-001-1'],061130105052,061130105052032,"[(-121.67175814503621, 38.57483720635787)]","[(-121.67528720352568, 38.574856272541936)]"
-121.67175814503621,38.57483720635787,['L21-002-1'],061130105052,061130105052032,"[(-121.67056412803247, 38.574831740147104)]","[(-121.67349529802735, 38.57484666607894)]"
-121.67056412803247,38.574831740147104,['L21-003-1'],061130105052,061130105052032,"[(-121.66886348895035, 38.57482483143335)]","[(-121.67175814503621, 38.57483720635787)]"
-121.66886348895035,38.57482483143335,['L21-004-1'],061130105052,061130105052032,"[(-121.66700647346504, 38.574819195806974)]","[(-121.67056412803247, 38.574831740147104)]"
-121.70966186088562,38.57471608481915,['M17-002-1'],061130105053,061130105053000,"[(-121.70791323076436, 38.57473085252306)]","[(-121.71141048853889, 38.57470128932512)]"
-121.71571827959576,38.56843453018746,['M16-030-1'],061130105053,061130105053001,"[(-121.71659942128457, 38.56913805220199)]","[(-121.71621662175848, 38.5679263058959), (-121.71478983133134, 38.56894591662112)]"
-121.73385176829692,38.57116645505661,['M14-011-1'],061130105052,061130105052020,"[(-121.73543171190744, 38.5711253336076)]","[(-121.73221358876556, 38.571209070534245)]"
-121.73221358876556,38.571209070534245,['M14-012-1'],061130105052,061130105052020,"[(-121.73385176829692, 38.57116645505661)]","[(-121.7305750504243, 38.571251685338794)]"
-121.73503008314685,38.573959405983445,['M14-002-1'],061130105052,061130105052020,"[(-121.73479246360313, 38.575407783532086)]","[(-121.73526769129361, 38.57251102790752)]"
-121.73526769129361,38.57251102790752,['M14-002-2'],061130105052,061130105052020,"[(-121.73503008314685, 38.573959405983445)]","[(-121.73543171190744, 38.5711253336076)]"
-121.73568155002518,38.56792692682488,['M14-004-1'],061130105052,061130105052020,"[(-121.73543171190744, 38.5711253336076)]","[(-121.73581030470673, 38.565823253204634)]"
-121.73543171190744,38.5711253336076,['M14-003-1'],061130105052,061130105052020,"[(-121.73526769129361, 38.57251102790752)]","[(-121.73568155002518, 38.56792692682488), (-121.73385176829692, 38.57116645505661)]"
-121.72743548570556,38.56702947157008,['N15-007-1'],061130105054,061130105054000,"[(-121.72813544801566, 38.56687583382912)]",[]
-121.72813544801566,38.56687583382912,['N15-006-1'],061130105054,061130105054002,"[(-121.72847385983098, 38.56785480560169)]","[(-121.72743548570556, 38.56702947157008), (-121.72844083114504, 38.566387139292736)]"
-121.72844083114504,38.566387139292736,['N15-008-1'],061130105054,061130105054000,"[(-121.72813544801566, 38.56687583382912)]","[(-121.72863960518512, 38.566020844167)]"
-121.72863960518512,38.566020844167,['N15-009-1'],061130105054,061130105054000,"[(-121.72844083114504, 38.566387139292736)]","[(-121.72714229418806, 38.56620759784995), (-121.72865158501247, 38.56593459994828)]"
-121.72230719089305,38.5645989086922,['N15-086-1'],061130105053,061130105053004,"[(-121.72279100772883, 38.564821276031985)]","[(-121.72198992094957, 38.56505070163569), (-121.72191036300045, 38.5644239683626)]"
-121.72501299480352,38.56637242355945,['N15-076-1'],061130105054,061130105054001,"[(-121.72424604030651, 38.56680685103423)]","[(-121.72440841821235, 38.56522345285059), (-121.7250785869426, 38.566436818511434)]"
-121.72772911821805,38.56343585845772,['N15-035-1'],061130105054,061130105054003,"[(-121.72764107257395, 38.56321274262699)]",[]
-121.70791323076436,38.57473085252306,['M17-003-1'],061130105053,061130105053000,"[(-121.70588132283727, 38.574747982825144)]","[(-121.70966186088562, 38.57471608481915)]"
-121.70588132283727,38.574747982825144,['M17-004-1'],061130105053,061130105053000,"[(-121.70441597008517, 38.57476031281558)]","[(-121.70791323076436, 38.57473085252306)]"
-121.70157326599343,38.57475251851463,['M18-007-1'],061130105053,061130105053000,"[(-121.69982447614797, 38.574736763662834)]","[(-121.70339455673671, 38.574768896784285), (-121.70263705953661, 38.574762087754664)]"
-121.69982447614797,38.574736763662834,['M18-008-1'],061130105053,061130105053000,"[(-121.69823262325271, 38.574722402082195)]","[(-121.70157326599343, 38.57475251851463)]"
-121.70336052499484,38.571249337124115,['M18-003-1'],061130105053,061130105053000,"[(-121.70337379907065, 38.57262224370682)]","[(-121.70334725143562, 38.569876429136606)]"
-121.70334725143562,38.569876429136606,['M18-002-1'],061130105053,061130105053000,"[(-121.70336052499484, 38.571249337124115)]","[(-121.70333397839293, 38.56850351974501)]"
-121.70338707365164,38.57399515162983,['M18-005-1'],061130105053,061130105053000,"[(-121.70339455673671, 38.574768896784285)]","[(-121.70337379907065, 38.57262224370682)]"
-121.70337379907065,38.57262224370682,['M18-004-1'],061130105053,061130105053000,"[(-121.70338707365164, 38.57399515162983)]","[(-121.70336052499484, 38.571249337124115)]"
-121.70335225790875,38.56726794962275,['N17-001-1'],061130105053,061130105053000,"[(-121.70333397839293, 38.56850351974501)]","[(-121.7033688682, 38.56614517856031)]"
-121.70333397839293,38.56850351974501,['M18-001-1'],061130105053,061130105053000,"[(-121.70334725143562, 38.569876429136606)]","[(-121.70335225790875, 38.56726794962275)]"
-121.70441597008517,38.57476031281558,['M17-005-1'],061130105053,061130105053000,"[(-121.70339455673671, 38.574768896784285)]","[(-121.70588132283727, 38.574747982825144)]"
-121.71967559562934,38.538131634754336,['R16-013-1'],061130106082,061130106082000,"[(-121.71971034880276, 38.53840581836492)]",[]
-121.72059427255292,38.53602356373082,['R16-029-1'],061130106082,061130106082000,"[(-121.72085676410889, 38.53665844881265)]","[(-121.72014773763249, 38.536071466081935)]"
-121.72178926748008,38.53568688828876,['R16-028-1'],061130106082,061130106082001,"[(-121.72184197361815, 38.536473505188255)]","[(-121.72241748664067, 38.535680424414615)]"
-121.72359324393886,38.54312024674046,['Q15-020-1'],061130106081,061130106081006,"[(-121.72330347289665, 38.543282688651324)]","[(-121.72355300671212, 38.54283260590172)]"
-121.72431834854643,38.542693968967974,['Q15-023-1'],061130106081,061130106081007,"[(-121.72355300671212, 38.54283260590172)]","[(-121.7236607698301, 38.542168685600764), (-121.72463312454626, 38.542817316441536)]"
-121.72355300671212,38.54283260590172,['Q15-024-1'],061130106081,061130106081007,"[(-121.72359324393886, 38.54312024674046)]","[(-121.72431834854643, 38.542693968967974), (-121.72304925762725, 38.54283988343236)]"
-121.69889731134717,38.544559452912175,['Q18-053-1'],061130106074,061130106074000,"[(-121.69892026406482, 38.54365344429652)]","[(-121.70000536702462, 38.5445727337308), (-121.69888207459184, 38.545422821119786)]"
-121.7000967826968,38.54375108790718,['Q18-054-1'],061130106074,061130106074000,"[(-121.69892026406482, 38.54365344429652)]",[]
-121.70000536702462,38.5445727337308,['Q18-052-1'],061130106074,061130106074000,"[(-121.69889731134717, 38.544559452912175)]",[]
-121.72277834237178,38.53579161334855,['R15-027-1'],061130106082,061130106082001,"[(-121.72242888867262, 38.5365336290801)]",[]
-121.72464841932658,38.5367607139828,['R15-026-1'],061130106082,061130106082000,"[(-121.72404919220297, 38.53718860926348)]",[]
-121.72328070886452,38.54204163027689,['Q15-027-1'],061130106081,061130106081007,"[(-121.72304925762725, 38.54283988343236)]","[(-121.72348043490113, 38.54207006520875)]"
-121.7236607698301,38.542168685600764,['Q15-026-1'],061130106081,061130106081007,"[(-121.72431834854643, 38.542693968967974)]",[]
-121.72304925762725,38.54283988343236,['Q15-025-1'],061130106081,061130106081007,"[(-121.72355300671212, 38.54283260590172)]","[(-121.72328070886452, 38.54204163027689)]"
-121.72151686359436,38.54376905823251,['Q16-023-1'],061130106081,061130106081002,"[(-121.72155521587277, 38.54357088353293)]","[(-121.7216198467909, 38.54413326529263)]"
-121.69888207459184,38.545422821119786,['Q18-049-1'],061130106074,061130106074000,"[(-121.69889731134717, 38.544559452912175)]","[(-121.70013651320392, 38.54543933721604)]"
-121.70013651320392,38.54543933721604,['Q18-048-1'],061130106074,061130106074000,"[(-121.69888207459184, 38.545422821119786)]",[]
-121.72463312454626,38.542817316441536,['Q15-022-1'],061130106081,061130106081006,"[(-121.72431834854643, 38.542693968967974)]","[(-121.72486625788302, 38.54279934297999)]"
-121.72155521587277,38.54357088353293,['Q16-026-1'],061130106081,061130106081002,"[(-121.7210127060324, 38.543443032971105)]","[(-121.72151686359436, 38.54376905823251), (-121.72185819862888, 38.54360427616423)]"
-121.7216198467909,38.54413326529263,['Q16-015-1'],061130106081,061130106081003,"[(-121.72151686359436, 38.54376905823251)]","[(-121.72149039142275, 38.5447298306699)]"
-121.71849959464035,38.53748083425382,['R16-030-1'],061130106082,061130106082000,"[(-121.71882776056357, 38.537715639964034)]","[(-121.71850460553895, 38.537318791104475)]"
-121.71883709327678,38.5366577200186,['R16-034-1'],061130106082,061130106082000,"[(-121.71897989433985, 38.53690762617521)]",[]
-121.71850460553895,38.537318791104475,['R16-031-1'],061130106082,061130106082000,"[(-121.71849959464035, 38.53748083425382)]","[(-121.71893365109607, 38.53705437881849)]"
-121.71356484942271,38.54102976062197,['Q16-074-1'],061130106083,061130106083002,"[(-121.71358534133124, 38.54168006202822)]","[(-121.71353396522989, 38.53961422939169)]"
-121.71358534133124,38.54168006202822,['Q16-071-1'],061130106083,061130106083002,"[(-121.71357406289569, 38.54202318360303)]","[(-121.71356484942271, 38.54102976062197)]"
-121.72149039142275,38.5447298306699,['Q16-013-1'],061130106081,061130106081002,"[(-121.7216198467909, 38.54413326529263)]",[]
-121.72330347289665,38.543282688651324,['Q15-021-1'],061130106081,061130106081006,"[(-121.72235228387414, 38.54359074603199)]","[(-121.72345857907138, 38.54387807867734), (-121.72359324393886, 38.54312024674046)]"
-121.72235228387414,38.54359074603199,['Q15-019-1'],061130106081,061130106081006,"[(-121.72204575613027, 38.54493891049205)]","[(-121.72330347289665, 38.543282688651324)]"
-121.72345857907138,38.54387807867734,['Q15-018-1'],061130106081,061130106081006,"[(-121.72330347289665, 38.543282688651324)]",[]
-121.71897989433985,38.53690762617521,['R16-033-1'],061130106082,061130106082000,"[(-121.71893365109607, 38.53705437881849)]","[(-121.71883709327678, 38.5366577200186)]"
-121.71893365109607,38.53705437881849,['R16-032-1'],061130106082,061130106082000,"[(-121.71850460553895, 38.537318791104475)]","[(-121.71897989433985, 38.53690762617521)]"
-121.72204575613027,38.54493891049205,['Q16-001-1'],061130106081,061130106081001,"[(-121.72177305778327, 38.54494171224533)]","[(-121.72228021529202, 38.54486251520994), (-121.72235228387414, 38.54359074603199)]"
-121.71459590373921,38.5408020912626,['Q16-090-1'],061130106083,061130106083002,"[(-121.7159315743495, 38.540195787457606)]","[(-121.7142608471378, 38.540496807476906)]"
-121.71799200363078,38.539979531902006,['Q16-084-1'],061130106083,061130106083004,"[(-121.71788065193236, 38.54038629486331)]","[(-121.71731972600618, 38.53960539235763), (-121.71883552969065, 38.53995067947013)]"
-121.71987901255595,38.53987337578209,['Q16-082-1'],061130106082,061130106082000,"[(-121.71883552969065, 38.53995067947013)]","[(-121.71985350617373, 38.53968050314283)]"
-121.7159315743495,38.540195787457606,['Q16-089-1'],061130106082,061130106082000,"[(-121.71731972600618, 38.53960539235763)]","[(-121.71459590373921, 38.5408020912626)]"
-121.71979894438915,38.53922550290974,['Q16-086-1'],061130106082,061130106082000,"[(-121.7183715354568, 38.53933174889872)]","[(-121.71983120378464, 38.53944007773279)]"
-121.70063089465211,38.54544556539714,['Q18-047-1'],061130106074,061130106074000,"[(-121.70191256519773, 38.54546567902943)]",[]
-121.70174450152497,38.54470822441431,['Q18-050-1'],061130106074,061130106074000,"[(-121.70191256519773, 38.54546567902943)]","[(-121.70061273689046, 38.54465512439487)]"
-121.69892026406482,38.54365344429652,['Q18-055-1'],061130106074,061130106074000,"[(-121.69788288102737, 38.543675713164575)]","[(-121.7000967826968, 38.54375108790718), (-121.69889731134717, 38.544559452912175)]"
-121.70061273689046,38.54465512439487,['Q18-051-1'],061130106074,061130106074000,"[(-121.70174450152497, 38.54470822441431)]",[]
-121.72228021529202,38.54486251520994,['Q15-040-1'],061130106081,061130106081001,"[(-121.72204575613027, 38.54493891049205)]","[(-121.72320505732353, 38.54510651938756)]"
-121.72320505732353,38.54510651938756,['Q15-039-1'],061130106081,061130106081001,"[(-121.72228021529202, 38.54486251520994)]","[(-121.72423378876708, 38.54538180216265)]"
-121.71135664332775,38.54267941451152,['Q17-047-1'],061130106074,061130106074000,"[(-121.71132559817947, 38.543379482349955)]","[(-121.7113670656338, 38.54211664564506)]"
-121.71700470400832,38.54196428812946,['Q16-079-1'],061130106082,061130106082000,"[(-121.7164442223755, 38.54249343398566)]","[(-121.71803120478789, 38.54147827068868)]"
-121.71034732962362,38.54489302587354,['Q17-006-1'],061130106072,061130106072002,"[(-121.71129551594271, 38.544928279048655), (-121.7088248880417, 38.54451223959325)]",[]
-121.72705155080664,38.54500378516469,['Q15-006-1'],061130106082,061130106082002,"[(-121.72630364204414, 38.54523635033972)]","[(-121.72777606421066, 38.54474262876946)]"
-121.7268999381215,38.53806390947159,['R15-004-1'],061130106084,061130106084011,"[(-121.72690827409839, 38.53822668602017)]","[(-121.72688308121445, 38.53780316899164)]"
-121.72688237570765,38.53853986854534,['R15-002-1'],061130106084,061130106084011,"[(-121.72687223435013, 38.53866982631397)]","[(-121.72690827409839, 38.53822668602017)]"
-121.69662183832122,38.54034707107391,['Q18-065-1'],061130106073,061130106073004,"[(-121.69686707769222, 38.53983448508849)]","[(-121.69772819904225, 38.54051555461204)]"
-121.69686707769222,38.53983448508849,['Q18-070-1'],061130106073,061130106073004,"[(-121.69702367868454, 38.53955704332054)]","[(-121.6972824578914, 38.539875077980426), (-121.69662183832122, 38.54034707107391)]"
-121.69788901701173,38.53959781184291,['Q18-068-1'],061130106073,061130106073000,"[(-121.69702367868454, 38.53955704332054)]","[(-121.69805461992777, 38.53973476533263)]"
-121.69805461992777,38.53973476533263,['Q18-067-1'],061130106073,061130106073000,"[(-121.69788901701173, 38.53959781184291)]","[(-121.69804148959294, 38.540398881918954)]"
-121.72051396915899,38.54339775073918,['Q16-029-1'],061130106081,061130106081002,"[(-121.72027933479536, 38.543437070865615)]","[(-121.72089860574162, 38.54339515473907)]"
-121.72185819862888,38.54360427616423,['Q16-025-1'],061130106081,061130106081002,"[(-121.72155521587277, 38.54357088353293)]",[]
-121.72283171363448,38.5400673495573,['Q15-041-1'],061130106082,061130106082000,"[(-121.72154226210841, 38.54016495574043)]",[]
-121.71206599745321,38.5458082789859,['Q17-046-1'],061130106072,061130106072001,"[(-121.71204498297365, 38.54641808367964)]","[(-121.71289736578821, 38.54581859746329)]"
-121.71289736578821,38.54581859746329,['Q17-045-1'],061130106072,061130106072001,"[(-121.71206599745321, 38.5458082789859)]","[(-121.71288926097665, 38.546045870042626)]"
-121.69461940786111,38.54124322738784,['Q18-044-1'],061130106073,061130106073004,"[(-121.6946579435979, 38.53981018830924)]","[(-121.69576306774347, 38.54125822731764), (-121.69461431581581, 38.541462159222306)]"
-121.72423378876708,38.54538180216265,['Q15-038-1'],061130106081,061130106081001,"[(-121.72320505732353, 38.54510651938756)]",[]
-121.72713902040358,38.53988992065885,['Q15-014-1'],061130106084,061130106084002,"[(-121.72718415115727, 38.54099620126727)]","[(-121.7269334908996, 38.53919279740013), (-121.72558393895903, 38.53993110298308)]"
-121.728399974484,38.53994742930634,['Q15-013-1'],061130106084,061130106084002,"[(-121.7298778627217, 38.54000907740808)]",[]
-121.72550454621589,38.539939127681,['Q15-016-1'],061130106082,061130106082002,"[(-121.72558393895903, 38.53993110298308)]",[]
-121.72687223435013,38.53866982631397,['R15-001-1'],061130106084,061130106084011,"[(-121.7269334908996, 38.53919279740013)]","[(-121.72688237570765, 38.53853986854534)]"
-121.7269334908996,38.53919279740013,['Q15-017-1'],061130106082,061130106082000,"[(-121.72713902040358, 38.53988992065885)]","[(-121.72687223435013, 38.53866982631397)]"
-121.70112054036495,38.54203690796577,['Q18-022-1'],061130106073,061130106073000,"[(-121.69971270901749, 38.542511868504604)]","[(-121.70247492527174, 38.54156680284726), (-121.70180123624937, 38.54268688725946)]"
-121.70180123624937,38.54268688725946,['Q18-018-1'],061130106073,061130106073000,"[(-121.70112054036495, 38.54203690796577)]",[]
-121.70247492527174,38.54156680284726,['Q18-021-1'],061130106073,061130106073000,"[(-121.70112054036495, 38.54203690796577)]",[]
-121.70074763278431,38.540886342382436,['Q18-028-1'],061130106073,061130106073002,"[(-121.70192050414171, 38.54089678918587)]","[(-121.70075461231102, 38.54152653803592)]"
-121.70192050414171,38.54089678918587,['Q18-027-1'],061130106073,061130106073011,"[(-121.70175620454016, 38.53992592241277)]","[(-121.70074763278431, 38.540886342382436)]"
-121.6961079003704,38.54466117922572,['Q18-010-1'],061130106074,061130106074006,"[(-121.69785522594063, 38.54470406988635)]",[]
-121.69788288102737,38.543675713164575,['Q18-014-1'],061130106074,061130106074000,"[(-121.69648964494885, 38.543763571974075)]","[(-121.69785522594063, 38.54470406988635), (-121.69892026406482, 38.54365344429652)]"
-121.69648964494885,38.543763571974075,['Q18-015-1'],061130106074,061130106074000,"[(-121.69512783621121, 38.5438575611686)]","[(-121.69788288102737, 38.543675713164575)]"
-121.69512500006455,38.54481862276879,['Q18-011-1'],061130106074,061130106074000,"[(-121.69512783621121, 38.5438575611686)]","[(-121.69510948139302, 38.54566976368329)]"
-121.69512783621121,38.5438575611686,['Q18-016-1'],061130106074,061130106074000,"[(-121.69456246796919, 38.54384858075326)]","[(-121.69512500006455, 38.54481862276879), (-121.69648964494885, 38.543763571974075)]"
-121.69912593888365,38.53861027703151,['Q18-040-1'],061130106073,061130106073010,"[(-121.69729416660338, 38.538582885397865)]","[(-121.69913427820663, 38.53864984121237)]"
-121.69913427820663,38.53864984121237,['Q18-039-1'],061130106073,061130106073010,"[(-121.69912593888365, 38.53861027703151)]","[(-121.69912156226229, 38.53923550142515), (-121.7010690532024, 38.53866119759434)]"
-121.7010690532024,38.53866119759434,['Q18-038-1'],061130106073,061130106073010,"[(-121.69913427820663, 38.53864984121237)]","[(-121.7023685032519, 38.5386714287013)]"
-121.69690630931886,38.538577082560316,['Q18-041-1'],061130106073,061130106073010,"[(-121.69468475135463, 38.53855461125479)]","[(-121.69729416660338, 38.538582885397865)]"
-121.7023685032519,38.5386714287013,['Q18-037-1'],061130106073,061130106073011,"[(-121.7010690532024, 38.53866119759434)]",[]
-121.70175620454016,38.53992592241277,['Q18-032-1'],061130106073,061130106073002,"[(-121.70053086046921, 38.53942557052484)]","[(-121.70192050414171, 38.54089678918587), (-121.70208010966277, 38.539783974953615)]"
-121.70075461231102,38.54152653803592,['Q18-024-1'],061130106073,061130106073002,"[(-121.70074763278431, 38.540886342382436)]",[]
-121.70208010966277,38.539783974953615,['Q18-031-1'],061130106073,061130106073011,"[(-121.70175620454016, 38.53992592241277)]",[]
-121.69912156226229,38.53923550142515,['Q18-036-1'],061130106073,061130106073000,"[(-121.69913427820663, 38.53864984121237)]","[(-121.69910132181343, 38.5401791306458), (-121.70053086046921, 38.53942557052484)]"
-121.70053086046921,38.53942557052484,['Q18-035-1'],061130106073,061130106073011,"[(-121.69912156226229, 38.53923550142515)]","[(-121.70175620454016, 38.53992592241277)]"
-121.69785522594063,38.54470406988635,['Q18-009-1'],061130106074,061130106074005,"[(-121.69788288102737, 38.543675713164575)]","[(-121.69785352850302, 38.545528710684), (-121.6961079003704, 38.54466117922572)]"
-121.70508744646517,38.54519954686369,['Q17-038-1'],061130106074,061130106074000,"[(-121.70344328543642, 38.54553694860803)]",[]
-121.70453211430872,38.54444717858279,['Q17-039-1'],061130106074,061130106074000,"[(-121.70302815540857, 38.54473173439238)]",[]
-121.69510948139302,38.54566976368329,['Q18-008-1'],061130106074,061130106074000,"[(-121.69512500006455, 38.54481862276879)]",[]
-121.70302815540857,38.54473173439238,['Q18-003-1'],061130106074,061130106074000,"[(-121.70344328543642, 38.54553694860803)]","[(-121.70287762328557, 38.54390157490051), (-121.70453211430872, 38.54444717858279)]"
-121.70287762328557,38.54390157490051,['Q18-004-1'],061130106074,061130106074000,"[(-121.70302815540857, 38.54473173439238)]","[(-121.70451508972671, 38.54367794785878)]"
-121.70451508972671,38.54367794785878,['Q17-040-1'],061130106074,061130106074000,"[(-121.70287762328557, 38.54390157490051)]",[]
-121.70249681806796,38.54558901040626,['Q18-002-1'],061130106074,061130106074000,"[(-121.70344328543642, 38.54553694860803)]",[]
